,comunidadautonoma,capitalpueblo,enpoligono,tipo_de_zona,cnae_mercado,rangoventas,rangoempleados,tipooficina,nse,flotaturismos,flotafurgonetas,universo,existe_export,existe_email,impactos_publicidad,year,proba_0,proba_1
59080,MADRID,PUEBLO,1,6,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,7.0,0.0,UNICA,3,0,0,MARKETBASE,0,1,0,12.0,0.016745859512017347,0.9832541404879827
53776,MADRID,PUEBLO,1,5,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,7.0,0.0,UNICA,0,0,0,MARKETBASE,0,0,0,7.0,0.020202350992731044,0.979797649007269
56021,CATALUNYA,PUEBLO,1,6,TRANSPORTE Y ALMACENAMIENTO,8.0,0.0,UNICA,0,0,0,ACTIVEBUSINESS,0,0,1,16.0,0.021286455849874764,0.9787135441501252
96933,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,10.0,110.0,UNICA,5,0,0,ACTIVEBUSINESS,0,0,0,8.0,0.02142894594468725,0.9785710540553128
29158,MADRID,CAPITAL,0,7,"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",7.0,0.0,UNICA,4,0,0,MARKETBASE,0,0,2,6.0,0.02412201541708392,0.9758779845829161
21826,COMUNITAT VALENCIANA,PUEBLO,0,4,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,0.0,UNICA,0,0,0,MARKETBASE,0,0,0,12.0,0.025306886289361064,0.9746931137106389
90682,CATALUNYA,CAPITAL,0,7,INDUSTRIA MANUFACTURERA,10.0,110.0,UNICA,5,0,0,ACTIVEBUSINESS,0,0,2,12.0,0.029144714809946293,0.9708552851900537
88338,MADRID,CAPITAL,0,7,INDUSTRIA MANUFACTURERA,10.0,100.0,UNICA,5,0,0,ACTIVEBUSINESS,1,1,2,16.0,0.02999206072969207,0.9700079392703079
85888,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,10.0,115.0,UNICA,5,0,0,ACTIVEBUSINESS,0,1,0,12.0,0.030059836496412307,0.9699401635035877
51547,CATALUNYA,PUEBLO,1,6,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,4.0,0.0,UNICA,4,0,0,ACTIVEBUSINESS,0,0,0,9.0,0.03098773631503804,0.969012263684962
91894,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,10.0,115.0,SEDE,5,0,0,ACTIVEBUSINESS,0,0,0,17.0,0.03135992669942711,0.9686400733005729
69639,MADRID,CAPITAL,0,7,INDUSTRIA MANUFACTURERA,10.0,100.0,UNICA,4,0,0,MARKETBASE,0,0,3,9.0,0.03346899685590521,0.9665310031440948
35698,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,105.0,UNICA,5,0,0,ACTIVEBUSINESS,0,0,0,7.0,0.03356736115008818,0.9664326388499118
38157,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,10.0,115.0,UNICA,4,0,0,ACTIVEBUSINESS,0,0,0,12.0,0.03436211208506845,0.9656378879149315
19089,CATALUNYA,PUEBLO,1,6,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,100.0,UNICA,3,1,0,ACTIVEBUSINESS,0,0,0,9.0,0.034430913488128545,0.9655690865118715
13641,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,100.0,UNICA,5,0,0,MARKETBASE,1,1,0,16.0,0.03448405784616693,0.9655159421538331
6906,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,100.0,SEDE,5,1,0,ACTIVEBUSINESS,0,1,0,15.0,0.03525556380875483,0.9647444361912452
38440,GALICIA,PUEBLO,1,6,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,110.0,UNICA,5,0,0,ACTIVEBUSINESS,0,0,0,7.0,0.03755005987191706,0.9624499401280829
50921,MADRID,CAPITAL,1,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,110.0,UNICA,2,0,0,ACTIVEBUSINESS,0,0,0,9.0,0.038119440198448484,0.9618805598015515
37230,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,110.0,UNICA,5,0,1,ACTIVEBUSINESS,0,1,0,12.0,0.03853413889600177,0.9614658611039982
36537,CATALUNYA,CAPITAL,0,5,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,105.0,UNICA,5,0,0,ACTIVEBUSINESS,0,0,0,9.0,0.03924101040902894,0.9607589895909711
18601,COMUNITAT VALENCIANA,PUEBLO,1,4,INDUSTRIA MANUFACTURERA,10.0,105.0,UNICA,3,0,0,ACTIVEBUSINESS,1,1,2,12.0,0.03930566247936196,0.960694337520638
39131,CATALUNYA,CAPITAL,0,7,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXILIARES,10.0,110.0,UNICA,5,0,0,ACTIVEBUSINESS,0,1,1,14.0,0.040470221143050655,0.9595297788569493
49189,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,110.0,UNICA,5,0,0,ACTIVEBUSINESS,0,0,0,7.0,0.04144082637238311,0.9585591736276169
32140,CATALUNYA,PUEBLO,1,6,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,105.0,UNICA,4,0,0,ACTIVEBUSINESS,0,1,0,15.0,0.042283890272260094,0.9577161097277399
98167,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,100.0,UNICA,5,0,0,ACTIVEBUSINESS,0,0,0,6.0,0.04244782867405961,0.9575521713259404
31628,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,105.0,UNICA,5,1,0,ACTIVEBUSINESS,0,1,0,14.0,0.04278645779641499,0.957213542203585
98810,CATALUNYA,PUEBLO,1,6,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,100.0,UNICA,0,0,0,ACTIVEBUSINESS,0,0,0,20.0,0.042881763477251034,0.957118236522749
34984,MADRID,CAPITAL,1,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,10.0,130.0,SEDE,4,1,0,ACTIVEBUSINESS,0,0,0,18.0,0.04309642540810199,0.956903574591898
30228,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,105.0,UNICA,5,0,1,ACTIVEBUSINESS,0,1,0,8.0,0.043775522794259,0.956224477205741
23036,MADRID,CAPITAL,0,7,"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",10.0,115.0,UNICA,5,0,0,ACTIVEBUSINESS,1,1,1,14.0,0.04451582426599865,0.9554841757340014
21266,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,110.0,UNICA,5,0,0,ACTIVEBUSINESS,1,1,0,14.0,0.044671399888003394,0.9553286001119966
38803,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,130.0,UNICA,0,0,0,ACTIVEBUSINESS,0,0,0,5.0,0.04520894302782774,0.9547910569721723
55861,MADRID,CAPITAL,0,7,"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",10.0,110.0,UNICA,0,0,0,ACTIVEBUSINESS,0,0,1,6.0,0.045368183956102426,0.9546318160438976
94511,CATALUNYA,PUEBLO,0,5,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,125.0,UNICA,2,0,0,ACTIVEBUSINESS,0,1,0,8.0,0.04557865442278353,0.9544213455772165
26656,CATALUNYA,PUEBLO,1,6,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,110.0,UNICA,3,1,1,ACTIVEBUSINESS,0,1,0,16.0,0.0456946833863342,0.9543053166136658
28430,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,100.0,SEDE,3,0,0,ACTIVEBUSINESS,0,1,0,9.0,0.04586401623825176,0.9541359837617482
52168,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,115.0,UNICA,5,0,1,ACTIVEBUSINESS,0,1,0,11.0,0.04586918296617393,0.9541308170338261
26451,MADRID,PUEBLO,1,6,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,110.0,UNICA,5,0,0,ACTIVEBUSINESS,0,0,0,8.0,0.04604403499128451,0.9539559650087155
67489,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,100.0,UNICA,5,0,0,ACTIVEBUSINESS,0,1,0,17.0,0.0464317215163631,0.9535682784836369
30004,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,100.0,UNICA,5,1,0,ACTIVEBUSINESS,0,0,0,16.0,0.046714577489968656,0.9532854225100313
45016,CATALUNYA,PUEBLO,1,6,INDUSTRIA MANUFACTURERA,8.0,105.0,UNICA,2,0,0,ACTIVEBUSINESS,0,0,3,9.0,0.04674888394353116,0.9532511160564688
82850,MADRID,CAPITAL,1,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,120.0,SEDE,4,1,0,ACTIVEBUSINESS,1,1,0,10.0,0.04676507974116617,0.9532349202588338
12130,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,10.0,110.0,SEDE,5,0,1,ACTIVEBUSINESS,1,1,0,30.0,0.04679194813740939,0.9532080518625906
88667,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,7.0,100.0,UNICA,5,0,0,ACTIVEBUSINESS,0,0,0,5.0,0.046893633843702376,0.9531063661562976
17523,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,110.0,UNICA,5,0,0,MARKETBASE,0,0,0,6.0,0.04707992708877451,0.9529200729112255
29180,CATALUNYA,CAPITAL,0,7,INDUSTRIA MANUFACTURERA,10.0,100.0,SEDE,4,0,0,ACTIVEBUSINESS,1,1,2,34.0,0.04720432962673149,0.9527956703732685
28141,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,100.0,SEDE,5,0,1,ACTIVEBUSINESS,1,1,0,21.0,0.047315101202336396,0.9526848987976636
27587,MADRID,CAPITAL,1,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,110.0,UNICA,3,0,1,ACTIVEBUSINESS,0,1,0,10.0,0.04766982244277895,0.952330177557221
9249,PAIS VASCO,CAPITAL,1,6,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,100.0,UNICA,5,0,0,ACTIVEBUSINESS,0,0,0,5.0,0.04770066039597798,0.952299339604022
33626,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,4.0,0.0,UNICA,5,0,0,MARKETBASE,0,0,0,8.0,0.04786732138487204,0.952132678615128
84741,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,4.0,0.0,UNICA,5,0,0,MARKETBASE,0,0,0,8.0,0.04786732138487204,0.952132678615128
42719,CATALUNYA,CAPITAL,1,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,140.0,UNICA,0,0,0,ACTIVEBUSINESS,0,1,0,9.0,0.04787641921559471,0.9521235807844053
89575,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,100.0,UNICA,5,0,0,MARKETBASE,1,0,0,17.0,0.0482357733143115,0.9517642266856885
18200,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,3.0,0.0,SEDE,5,0,1,ACTIVEBUSINESS,0,1,0,13.0,0.04863639609169035,0.9513636039083097
77276,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,105.0,UNICA,5,0,0,ACTIVEBUSINESS,1,0,0,16.0,0.04876375562900903,0.951236244370991
66946,CATALUNYA,CAPITAL,0,7,ACTIVIDADES FINANCIERAS Y DE SEGUROS,10.0,125.0,SUCURSAL,5,0,0,ACTIVEBUSINESS,0,0,1,10.0,0.04909222141684266,0.9509077785831573
32150,CATALUNYA,CAPITAL,0,7,ACTIVIDADES FINANCIERAS Y DE SEGUROS,10.0,125.0,SUCURSAL,5,0,0,ACTIVEBUSINESS,0,0,1,10.0,0.04909222141684266,0.9509077785831573
16574,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,105.0,UNICA,4,0,0,ACTIVEBUSINESS,0,0,0,7.0,0.049318268194344594,0.9506817318056554
48305,MADRID,CAPITAL,1,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,110.0,UNICA,4,0,0,ACTIVEBUSINESS,0,0,0,9.0,0.04951230750669611,0.9504876924933039
31157,MADRID,CAPITAL,1,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,10.0,145.0,UNICA,0,0,0,ACTIVEBUSINESS,1,1,0,14.0,0.0495678399867483,0.9504321600132517
5566,PAIS VASCO,CAPITAL,0,6,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,105.0,UNICA,3,0,0,ACTIVEBUSINESS,0,1,0,10.0,0.049599280657182554,0.9504007193428174
67832,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,140.0,UNICA,5,0,0,ACTIVEBUSINESS,0,1,0,12.0,0.04999413465736491,0.9500058653426351
